0.84552,1.66584
0.842112,1.66656
0.838704,1.6674
0.835296,1.66812
0.831888,1.66896
0.828468,1.66968
0.825048,1.67052
0.821616,1.67124
0.818196,1.67208
0.814764,1.6728
0.811332,1.67364
0.807888,1.67436
0.804456,1.6752
0.801012,1.67592
0.797568,1.67676
0.794112,1.67748
0.790656,1.67832
0.7872,1.67904
0.783744,1.67988
0.780288,1.6806
0.77682,1.68144
0.773352,1.68228
0.769872,1.683
0.766404,1.68384
0.762924,1.68456
0.759444,1.6854
0.755952,1.68624
0.75246,1.68696
0.74898,1.6878
0.745476,1.68852
0.741984,1.68936
0.73848,1.6902
0.734976,1.69092
0.73146,1.69176
0.727956,1.6926
0.72444,1.69332
0.720924,1.69416
0.717396,1.695
0.713868,1.69572
0.71034,1.69656
0.706812,1.6974
0.703284,1.69812
0.699744,1.69896
0.696192,1.6998
0.692652,1.70064
0.6891,1.70136
0.685548,1.7022
0.681996,1.70304
0.678444,1.70376
0.67488,1.7046
0.671316,1.70544
0.66774,1.70628
0.664176,1.707
0.6606,1.70784
0.657012,1.70868
0.653436,1.70952
0.649848,1.71036
0.64626,1.71108
0.64266,1.71192
0.639072,1.71276
0.635472,1.7136
0.631872,1.71444
0.62826,1.71528
0.624648,1.716
0.621036,1.71684
0.617424,1.71768
0.6138,1.71852
0.610176,1.71936
0.606552,1.7202
0.602916,1.72104
0.59928,1.72176
0.595644,1.7226
0.592008,1.72344
0.58836,1.72428
0.584712,1.72512
0.581064,1.72596
0.577404,1.7268
0.573744,1.72764
0.570084,1.72848
0.566424,1.72932
0.562752,1.73016
0.55908,1.731
0.555396,1.73184
0.551724,1.73268
0.54804,1.73352
0.544356,1.73436
0.54066,1.7352
0.536964,1.73604
0.533268,1.73688
0.529572,1.73772
0.525864,1.73856
0.522156,1.7394
0.518436,1.74024
0.514728,1.74108
0.511008,1.74192
0.507288,1.74276
0.503556,1.7436
0.499824,1.74444
0.496092,1.74528
0.49236,1.74612
0.488616,1.74696
0.484872,1.7478
0.481116,1.74864
0.477372,1.74948
0.473616,1.75044
0.469848,1.75128
0.466092,1.75212
0.462324,1.75296
0.458556,1.7538
0.454776,1.75464
0.450996,1.75548
0.447216,1.75644
0.443436,1.75728
0.439644,1.75812
0.435852,1.75896
0.43206,1.7598
0.428256,1.76076
0.424452,1.7616
0.420648,1.76244
0.416832,1.76328
0.413016,1.76412
0.4092,1.76508
0.405372,1.76592
0.401556,1.76676
0.397716,1.7676
0.393888,1.76856
0.390048,1.7694
0.386208,1.77024
0.382368,1.77108
0.378516,1.77204
0.374664,1.77288
0.3708,1.77372
0.366948,1.77468
0.363084,1.77552
0.359208,1.77636
0.355344,1.77732
0.351468,1.77816
0.34758,1.779
0.343704,1.77996
0.339816,1.7808
0.335916,1.78164
0.332028,1.7826
0.328128,1.78344
0.324228,1.7844
0.320316,1.78524
0.316404,1.78608
0.312492,1.78704
0.308568,1.78788
0.304656,1.78884
0.30072,1.78968
0.296796,1.79064
0.29286,1.79148
0.288924,1.79244
0.284976,1.79328
0.281028,1.79412
0.27708,1.79508
0.273132,1.79592
0.269172,1.79688
0.265212,1.79772
0.26124,1.79868
0.25728,1.79952
0.253296,1.80048
0.249324,1.80144
0.24534,1.80228
0.241356,1.80324
0.237372,1.80408
0.233376,1.80504
0.22938,1.80588
0.225372,1.80684
0.221364,1.8078
0.217356,1.80864
0.213348,1.8096
0.209328,1.81044
0.205308,1.8114
0.201276,1.81236
0.197244,1.8132
0.193212,1.81416
0.18918,1.81512
0.185136,1.81596
0.18108,1.81692
0.177036,1.81788
0.17298,1.81872
0.168924,1.81968
0.164856,1.82064
0.160788,1.82148
0.15672,1.82244
0.15264,1.8234
0.14856,1.82424
0.14448,1.8252
0.140388,1.82616
0.136296,1.82712
0.132204,1.82796
0.1281,1.82892
0.123996,1.82988
0.1198908,1.83084
0.1157784,1.8318
0.1116612,1.83264
0.1075404,1.8336
0.1034148,1.83456
0.0992844,1.83552
0.0951504,1.83648
0.0910116,1.83744
0.0868692,1.83828
0.0827232,1.83924
0.0785724,1.8402
0.0744168,1.84116
0.0702576,1.84212
0.0660936,1.84308
0.0619248,1.84404
0.0577524,1.845
0.0535764,1.84584
0.0493956,1.8468
0.04521,1.84776
0.0410208,1.84872
0.0368268,1.84968
0.032628,1.85064
0.0284256,1.8516
0.0242184,1.85256
0.0200076,1.85352
0.015792,1.85448
0.0115716,1.85544
0.00734724,1.8564
0.00311856,1.85736
-0.001114608,1.85832
-0.00535212,1.85928
-0.009594,1.86024
-0.0138408,1.8612
-0.0180912,1.86216
-0.0223464,1.86312
-0.0266064,1.86408
-0.03087,1.86504
-0.0351384,1.86612
-0.0394116,1.86708
-0.0436884,1.86804
-0.04797,1.869
-0.0522564,1.86996
-0.0565476,1.87092
-0.0608424,1.87188
-0.065142,1.87284
-0.0694464,1.87392
-0.0737556,1.87488
-0.0780684,1.87584
-0.082386,1.8768
-0.0867084,1.87776
-0.0910344,1.87872
-0.0953664,1.8798
-0.099702,1.88076
-0.1040424,1.88172
-0.1083876,1.88268
-0.1127376,1.88376
-0.1170912,1.88472
