pixel_index,sample_n,t_s,x,y,line_index,is_line_start
129,4442,4.442,0.0545472,1.50972,8,0
130,4464,4.464,0.0550224,1.34532,8,0
131,4486,4.486,0.0554964,1.180908,8,0
132,4508,4.508,0.0559716,1.016496,8,0
133,4530,4.53,0.0564468,0.852096,8,0
134,4552,4.552,0.0569208,0.687672,8,0
135,4574,4.574,0.057396,0.523236,8,0
136,4596,4.596,0.0578712,0.3588,8,0
137,4618,4.618,0.0583464,0.194352,8,0
138,4640,4.64,0.0588216,0.0299016,8,0
139,4662,4.662,0.0592956,-0.134568,8,0
140,4684,4.684,0.0597708,-0.29904,8,0
141,4706,4.706,0.060246,-0.463512,8,0
142,4728,4.728,0.0607212,-0.628008,8,0
143,4750,4.75,0.0611964,-0.792504,8,0
144,4914,4.914,0.187164,-1.66416,9,1
145,4935,4.935,0.186708,-1.5096,9,0
146,4956,4.956,0.186264,-1.35492,9,0
147,4977,4.977,0.185808,-1.20024,9,0
148,4998,4.998,0.185364,-1.045548,9,0
149,5019,5.019,0.184908,-0.890904,9,0
150,5040,5.04,0.184464,-0.736272,9,0
151,5061,5.061,0.184008,-0.58164,9,0
152,5082,5.082,0.183564,-0.427008,9,0
153,5103,5.103,0.183108,-0.2724,9,0
154,5124,5.124,0.182664,-0.1177908,9,0
155,5145,5.145,0.18222,0.0368088,9,0
156,5166,5.166,0.181764,0.1914,9,0
157,5187,5.187,0.18132,0.345984,9,0
158,5208,5.208,0.180864,0.500556,9,0
159,5229,5.229,0.18042,0.655128,9,0
160,5406,5.406,0.297288,1.62396,10,1
161,5426,5.426,0.297708,1.479,10,0
162,5446,5.446,0.298128,1.33404,10,0
163,5466,5.466,0.29856,1.189008,10,0
164,5486,5.486,0.29898,1.044036,10,0
165,5506,5.506,0.2994,0.899052,10,0
166,5526,5.526,0.299832,0.754056,10,0
167,5546,5.546,0.300252,0.60906,10,0
168,5566,5.566,0.300672,0.464064,10,0
169,5586,5.586,0.301104,0.319044,10,0
170,5606,5.606,0.301524,0.174036,10,0
171,5626,5.626,0.301956,0.0290052,10,0
172,5646,5.646,0.302376,-0.1160256,10,0
173,5666,5.666,0.302796,-0.26106,10,0
174,5686,5.686,0.303228,-0.406104,10,0
175,5706,5.706,0.303648,-0.55116,10,0
176,5900,5.9,0.422976,-1.61508,11,1
177,5919,5.919,0.42258,-1.47924,11,0
178,5938,5.938,0.422172,-1.3434,11,0
179,5957,5.957,0.421776,-1.20768,11,0
180,5976,5.976,0.42138,-1.071852,11,0
181,5995,5.995,0.420972,-0.93606,11,0
182,6014,6.014,0.420576,-0.80028,11,0
183,6033,6.033,0.42018,-0.6645,11,0
184,6052,6.052,0.419772,-0.528732,11,0
185,6071,6.071,0.419376,-0.392964,11,0
186,6090,6.09,0.41898,-0.257208,11,0
187,6109,6.109,0.418572,-0.121452,11,0
188,6128,6.128,0.418176,0.0142884,11,0
189,6147,6.147,0.41778,0.150024,11,0
190,6166,6.166,0.417372,0.285768,11,0
191,6185,6.185,0.416976,0.421488,11,0
192,6394,6.394,0.526344,1.57668,12,1
193,6412,6.412,0.526716,1.44996,12,0
194,6430,6.43,0.527088,1.32336,12,0
195,6448,6.448,0.527472,1.196652,12,0
196,6466,6.466,0.527844,1.069968,12,0
197,6484,6.484,0.528216,0.943284,12,0
198,6502,6.502,0.5286,0.816588,12,0
199,6520,6.52,0.528972,0.689892,12,0
200,6538,6.538,0.529344,0.563184,12,0
201,6556,6.556,0.529728,0.436476,12,0
202,6574,6.574,0.5301,0.309768,12,0
203,6592,6.592,0.530472,0.183048,12,0
204,6610,6.61,0.530856,0.0563232,12,0
205,6628,6.628,0.531228,-0.0704052,12,0
206,6646,6.646,0.5316,-0.197136,12,0
207,6664,6.664,0.531972,-0.32388,12,0
208,6888,6.888,0.645264,-1.56876,13,1
209,6905,6.905,0.644916,-1.45068,13,0
210,6922,6.922,0.644556,-1.33272,13,0
211,6939,6.939,0.644208,-1.21464,13,0
212,6956,6.956,0.643848,-1.096644,13,0
213,6973,6.973,0.6435,-0.978624,13,0
214,6990,6.99,0.643152,-0.860628,13,0
215,7007,7.007,0.642792,-0.74262,13,0
216,7024,7.024,0.642444,-0.624624,13,0
217,7041,7.041,0.642096,-0.506628,13,0
218,7058,7.058,0.641736,-0.388644,13,0
219,7075,7.075,0.641388,-0.270648,13,0
220,7092,7.092,0.64104,-0.152676,13,0
221,7109,7.109,0.64068,-0.034698,13,0
222,7126,7.126,0.640332,0.0832728,13,0
223,7143,7.143,0.639984,0.20124,13,0
224,7382,7.382,0.742452,1.53204,14,1
225,7398,7.398,0.742776,1.42272,14,0
226,7414,7.414,0.743112,1.31328,14,0
227,7430,7.43,0.743436,1.20384,14,0
228,7446,7.446,0.74376,1.094436,14,0
229,7462,7.462,0.744096,0.985008,14,0
230,7478,7.478,0.74442,0.87558,14,0
231,7494,7.494,0.744756,0.76614,14,0
232,7510,7.51,0.74508,0.656712,14,0
233,7526,7.526,0.745404,0.54726,14,0
234,7542,7.542,0.74574,0.43782,14,0
235,7558,7.558,0.746064,0.328368,14,0
236,7574,7.574,0.746388,0.218916,14,0
237,7590,7.59,0.746724,0.1094604,14,0
238,7606,7.606,0.747048,0.0,14,0
239,7622,7.622,0.747372,-0.1094652,14,0
240,7876,7.876,0.855144,-1.52496,15,1
241,7891,7.891,0.854844,-1.4238,15,0
242,7906,7.906,0.854544,-1.32252,15,0
243,7921,7.921,0.854232,-1.22124,15,0
244,7936,7.936,0.853932,-1.120044,15,0
245,7951,7.951,0.85362,-1.018824,15,0
246,7966,7.966,0.85332,-0.917604,15,0
247,7981,7.981,0.853008,-0.816384,15,0
248,7996,7.996,0.852708,-0.715164,15,0
249,8011,8.011,0.852396,-0.613956,15,0
250,8026,8.026,0.852096,-0.512748,15,0
251,8041,8.041,0.851796,-0.41154,15,0
252,8056,8.056,0.851484,-0.310332,15,0
253,8071,8.071,0.851184,-0.209136,15,0
254,8086,8.086,0.850872,-0.1079388,15,0
255,8101,8.101,0.850572,-0.00674604,15,0
