pixel_index,sample_n,x,y,x_nearest_sample,y_nearest_sample,line_index
0,456,1.0,-0.955010224948875,1.0,-0.955010224948875,0
1,487,1.0,-0.8290388548057263,1.0,-0.828220858895706,0
2,518,1.0,-0.7030674846625775,1.0,-0.701431492842536,0
3,548,1.0,-0.5770961145194288,1.0,-0.578732106339468,0
4,579,1.0,-0.45112474437628003,1.0,-0.451942740286299,0
5,610,1.0,-0.3251533742331311,1.0,-0.325153374233129,0
6,641,1.0,-0.19918200408998185,1.0,-0.198364008179959,0
7,672,1.0,-0.07321063394683335,1.0,-0.0715746421267893,0
8,702,1.0,0.05276073619631605,1.0,0.0511247443762781,0
9,733,1.0,0.17873210633946565,1.0,0.177914110429448,0
10,764,1.0,0.3047034764826151,1.0,0.304703476482618,0
11,795,1.0,0.4306748466257645,1.0,0.431492842535787,0
12,826,1.0,0.5566462167689142,1.0,0.558282208588957,0
13,856,1.0,0.6826175869120645,1.0,0.680981595092025,0
14,887,1.0,0.8085889570552145,1.0,0.807770961145194,0
15,918,1.0,0.934560327198364,1.0,0.934560327198364,0
16,962,0.866666666666667,0.934560327198364,0.866666666666667,0.934560327198364,1
17,992,0.866666666666667,0.811860940695297,0.866666666666667,0.811860940695297,1
18,1022,0.866666666666667,0.68916155419223,0.866666666666667,0.689161554192229,1
19,1052,0.866666666666667,0.566462167689163,0.866666666666667,0.566462167689161,1
20,1082,0.866666666666667,0.4437627811860961,0.866666666666667,0.443762781186094,1
21,1112,0.866666666666667,0.3210633946830287,0.866666666666667,0.321063394683027,1
22,1142,0.866666666666667,0.19836400817996122,0.866666666666667,0.198364008179959,1
23,1172,0.866666666666667,0.0756646216768947,0.866666666666667,0.0756646216768917,1
24,1202,0.866666666666667,-0.04703476482617312,0.866666666666667,-0.0470347648261759,1
25,1232,0.866666666666667,-0.16973415132924055,0.866666666666667,-0.169734151329243,1
26,1262,0.866666666666667,-0.29243353783230813,0.866666666666667,-0.292433537832311,1
27,1292,0.866666666666667,-0.4151329243353758,0.866666666666667,-0.415132924335378,1
28,1322,0.866666666666667,-0.5378323108384433,0.866666666666667,-0.537832310838446,1
29,1352,0.866666666666667,-0.6605316973415116,0.866666666666667,-0.660531697341513,1
30,1382,0.866666666666667,-0.7832310838445798,0.866666666666667,-0.783231083844581,1
31,1412,0.866666666666667,-0.905930470347648,0.866666666666667,-0.905930470347648,1
32,1456,0.733333333333333,-0.905930470347648,0.733333333333333,-0.905930470347648,2
33,1486,0.733333333333333,-0.7832310838445811,0.733333333333333,-0.783231083844581,2
34,1516,0.733333333333333,-0.6605316973415142,0.733333333333333,-0.660531697341513,2
35,1546,0.733333333333333,-0.5378323108384473,0.733333333333333,-0.537832310838446,2
36,1576,0.733333333333333,-0.41513292433538035,0.733333333333333,-0.415132924335378,2
37,1606,0.733333333333333,-0.2924335378323128,0.733333333333333,-0.292433537832311,2
38,1636,0.733333333333333,-0.16973415132924577,0.733333333333333,-0.169734151329243,2
39,1666,0.733333333333333,-0.047034764826178896,0.733333333333333,-0.0470347648261759,2
40,1696,0.733333333333333,0.07566462167688892,0.733333333333333,0.0756646216768917,2
41,1726,0.733333333333333,0.19836400817995678,0.733333333333333,0.198364008179959,2
42,1756,0.733333333333333,0.3210633946830246,0.733333333333333,0.321063394683027,2
43,1786,0.733333333333333,0.4437627811860918,0.733333333333333,0.443762781186094,2
44,1816,0.733333333333333,0.5664621676891599,0.733333333333333,0.566462167689161,2
45,1846,0.733333333333333,0.6891615541922279,0.733333333333333,0.689161554192229,2
46,1876,0.733333333333333,0.8118609406952964,0.733333333333333,0.811860940695297,2
47,1906,0.733333333333333,0.934560327198364,0.733333333333333,0.934560327198364,2
48,1950,0.6,0.934560327198364,0.6,0.934560327198364,3
49,1980,0.6,0.811860940695297,0.6,0.811860940695297,3
50,2010,0.6,0.68916155419223,0.6,0.689161554192229,3
51,2040,0.6,0.566462167689163,0.6,0.566462167689161,3
52,2070,0.6,0.4437627811860961,0.6,0.443762781186094,3
53,2100,0.6,0.3210633946830287,0.6,0.321063394683027,3
54,2130,0.6,0.19836400817996122,0.6,0.198364008179959,3
55,2160,0.6,0.0756646216768947,0.6,0.0756646216768917,3
56,2190,0.6,-0.04703476482617312,0.6,-0.0470347648261759,3
57,2220,0.6,-0.16973415132924055,0.6,-0.169734151329243,3
