pixel_index,sample_n,t_s,x,y,line_index,is_line_start
68,2564,2.564,0.466666666666667,-0.415132924335378,4,0
69,2594,2.594,0.466666666666667,-0.292433537832311,4,0
70,2624,2.624,0.466666666666667,-0.169734151329243,4,0
71,2654,2.654,0.466666666666667,-0.0470347648261759,4,0
72,2684,2.684,0.466666666666667,0.0756646216768917,4,0
73,2714,2.714,0.466666666666667,0.198364008179959,4,0
74,2744,2.744,0.466666666666667,0.321063394683027,4,0
75,2774,2.774,0.466666666666667,0.443762781186094,4,0
76,2804,2.804,0.466666666666667,0.566462167689161,4,0
77,2834,2.834,0.466666666666667,0.689161554192229,4,0
78,2864,2.864,0.466666666666667,0.811860940695297,4,0
79,2894,2.894,0.466666666666667,0.934560327198364,4,0
80,2938,2.938,0.333333333333333,0.934560327198364,5,1
81,2968,2.968,0.333333333333333,0.811860940695297,5,0
82,2998,2.998,0.333333333333333,0.689161554192229,5,0
83,3028,3.028,0.333333333333333,0.566462167689161,5,0
84,3058,3.058,0.333333333333333,0.443762781186094,5,0
85,3088,3.088,0.333333333333333,0.321063394683027,5,0
86,3118,3.118,0.333333333333333,0.198364008179959,5,0
87,3148,3.148,0.333333333333333,0.0756646216768917,5,0
88,3178,3.178,0.333333333333333,-0.0470347648261759,5,0
89,3208,3.208,0.333333333333333,-0.169734151329243,5,0
90,3238,3.238,0.333333333333333,-0.292433537832311,5,0
91,3268,3.268,0.333333333333333,-0.415132924335378,5,0
92,3298,3.298,0.333333333333333,-0.537832310838446,5,0
93,3328,3.328,0.333333333333333,-0.660531697341513,5,0
94,3358,3.358,0.333333333333333,-0.783231083844581,5,0
95,3388,3.388,0.333333333333333,-0.905930470347648,5,0
96,3432,3.432,0.2,-0.905930470347648,6,1
97,3462,3.462,0.2,-0.783231083844581,6,0
98,3492,3.492,0.2,-0.660531697341513,6,0
99,3522,3.522,0.2,-0.537832310838446,6,0
100,3552,3.552,0.2,-0.415132924335378,6,0
101,3582,3.582,0.2,-0.292433537832311,6,0
102,3612,3.612,0.2,-0.169734151329243,6,0
103,3642,3.642,0.2,-0.0470347648261759,6,0
104,3672,3.672,0.2,0.0756646216768917,6,0
105,3702,3.702,0.2,0.198364008179959,6,0
106,3732,3.732,0.2,0.321063394683027,6,0
107,3762,3.762,0.2,0.443762781186094,6,0
108,3792,3.792,0.2,0.566462167689161,6,0
109,3822,3.822,0.2,0.689161554192229,6,0
110,3852,3.852,0.2,0.811860940695297,6,0
111,3882,3.882,0.2,0.934560327198364,6,0
112,3926,3.926,0.0666666666666667,0.934560327198364,7,1
113,3956,3.956,0.0666666666666667,0.811860940695297,7,0
114,3986,3.986,0.0666666666666667,0.689161554192229,7,0
115,4016,4.016,0.0666666666666667,0.566462167689161,7,0
116,4046,4.046,0.0666666666666667,0.443762781186094,7,0
