pixel_index,sample_n,x,y,x_nearest_sample,y_nearest_sample,line_index
72,2684,-0.4750303373311346,-0.12804000606331192,-0.475032,-0.127488,4
73,2714,-0.4743583734916836,-0.3670800007610437,-0.47436,-0.36654,4
74,2744,-0.4736864819407339,-0.6061199956763481,-0.473688,-0.605616,4
75,2774,-0.4730153142973634,-0.8451599922533407,-0.473016,-0.844704,4
76,2804,-0.4723548433344313,-1.0842000129688065,-0.472356,-1.083816,4
77,2834,-0.47168327270226607,-1.323240008252199,-0.471684,-1.323,4
78,2864,-0.4710112835741552,-1.5622800026580017,-0.471012,-1.56204,4
79,2894,-0.47034,-1.80132,-0.47034,-1.80132,4
80,2938,-0.330324,-1.77204,-0.330324,-1.77204,5
81,2968,-0.3309838769521539,-1.5368799905499753,-0.330984,-1.53684,5
82,2998,-0.33164338467571675,-1.3017199803920483,-0.331644,-1.30152,5
83,3028,-0.33231508117136804,-1.0665599975483253,-0.332316,-1.06626,5
84,3058,-0.3329748484297959,-0.8313999876716326,-0.332976,-0.831024,5
85,3088,-0.33363532724860157,-0.5962399794145741,-0.333636,-0.5958,5
86,3118,-0.33430653212302347,-0.36107999577133093,-0.334308,-0.3606,5
87,3148,-0.33496648089933884,-0.1259199863658663,-0.334968,-0.125424,5
88,3178,-0.33562723273301465,0.10924002120518884,-0.335628,0.1097412,5
89,3208,-0.33629849542691476,0.3444000046011324,-0.3363,0.344892,5
90,3238,-0.33695859331373823,0.5795600135923978,-0.33696,0.58002,5
91,3268,-0.3376193813491361,0.8147200209859004,-0.33762,0.815124,5
92,3298,-0.33829097091435717,1.0498800035376277,-0.338292,1.050216,5
93,3328,-0.3389511515531945,1.2850400125541965,-0.338952,1.28532,5
94,3358,-0.3396116969990309,1.5202000193603493,-0.339612,1.5204,5
95,3388,-0.340284,1.75536,-0.340284,1.75536,5
96,3432,-0.204636,1.7274,-0.204636,1.7274,6
97,3462,-0.20397572923858381,1.4959840050794833,-0.203976,1.49616,6
98,3492,-0.20332727494293998,1.2645679817407884,-0.203328,1.2648,6
99,3522,-0.20266699061116,1.0331519861823641,-0.202668,1.033476,6
100,3552,-0.20200677878651893,0.8017359904725816,-0.202008,0.802128,6
101,3582,-0.20134660434469293,0.5703199946464333,-0.201348,0.570768,6
102,3612,-0.2006865046686329,0.33890399863115345,-0.200688,0.339384,6
103,3642,-0.20002643311316715,0.10748800257191812,-0.200028,0.1079916,6
104,3672,-0.1993672099603243,-0.12392799551146347,-0.199368,-0.12342,6
105,3702,-0.19870723484931524,-0.35534399189030424,-0.198708,-0.354852,6
